experiments	Schema Version 3.36	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
Please do not delete or edit this column						
Column Name	User Defined ID	Name	Description	Measurement Technique	Study ID	Protocol ID(s)
	12_101	SARS-CoV-2 Spike IgG Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	12_102	SARS-CoV-2 Spike IgM Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	12_103	SARS-CoV-2 Nucleocapsid IgG Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	12_104	SARS-CoV-2 Nucleocapsid IgM Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	14_010	COVID-SeroKlir, Kantaro Semi-Quantitative SARS-CoV-2 IgG Antibody Kit	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	14_020	Abbott Alinity m SARS-CoV-2 Assay	chemiluminescent microparticle immunoassay (CMIA)	Chemiluminescent Assay		
	14_050	Abbott ARCHITECT anti-HBc Assay	chemiluminescent microparticle immunoassay (CMIA)	Chemiluminescent Assay		
	14_070	LIAISON CMV IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	14_080	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	14_090	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	27_501	Elecsys Anti-SARS-CoV-2 S Immunoassay	electrochemiluminescence immunoassay (ECLIA)	Chemiluminescent Assay		
	27_502	SARS-CoV-2 Spike IgG Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	27_503	SARS-CoV-2 Spike IgM Assay	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	27_504	BioPlex 2200 ToRC IgM Kit	multiplex flow immunoassay	multiplex flow immunoassay		
	27_505	BioPlex 2200 EBV IgG Assay	multiplex flow immunoassay	multiplex flow immunoassay		
	27_506	Abbott ARCHITECT anti-HBc Assay	chemiluminescent microparticle immunoassay (CMIA)	Chemiluminescent Assay		
	27_507	Abbott ARCHITECT HIV Ag/Ab Combo Assay	chemiluminescent microparticle immunoassay (CMIA)	Chemiluminescent Assay		
	27_508	Geenius HIV 1/2 Supplemental Assay	lateral flow assay	lateral flow assay		
	27_509	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	27_510	LIAISON CMV IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	27_511	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	32_035	Abbott ARCHITECT CMV IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	32_040	BioPlex 2200 EBV IgG Assay	multiplex flow immunoassay	multiplex flow immunoassay		
	32_047	ACCESS SARS -CoV-2 IgM Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	32_048	ACCESS SARS -CoV-2 IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	32_060	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	32_065	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	32_070	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	32_075	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	41_468	LIAISON CMV IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_470	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_472	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_474	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_476	LIAISON VCA IgG Assay (EBV)	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_481	LIAISON SARS-CoV-2 S1/S2 IgG Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_483	LIAISON SARS-CoV-2 IgM Assay	chemiluminescent immunoassay (CLIA)	Chemiluminescent Assay		
	41_485	Abbott ARCHITECT anti-HBc Kit	chemiluminescent microparticle immunoassay (CMIA)	Chemiluminescent Assay		
	41_486	CBC LDT	enzyme-linked immunosorbent assay (ELISA)	ELISA		
	41_487	Elecsys Anti-SARS-CoV-2 S Immunoassay	electrochemiluminescence immunoassay (ECLIA)	Chemiluminescent Assay		
	41_488	Elecsys Anti-SARS-CoV-2 S Immunoassay	electrochemiluminescence immunoassay (ECLIA)	Chemiluminescent Assay		
