,Publication Owner,JIRA Epic #,Base_Project,Status/ImmPort Study ID,Base_Project.1,PMID,PMID_N,PMID_link,Publication_Title,Journal,Author(s),Pub Date,PI,print_type,citation
0,Mani,,CA260591,,CA260591,34687893,PMID_34687893,,"SARS-CoV-2 vaccine uptake, perspectives, and adverse reactions following vaccination in patients with cancer undergoing treatment",Annals of oncology : official journal of the European Society for Medical Oncology,"J C Figueiredo, U Ihenacho, N M Merin, O Hamid, J Darrah, J Gong, R Paquette, A C Mita, R Vescio, I Mehmi, R Basho, S J Salvy, C H Shirazipour, N Caceres, L J Finster, B Coleman, H U Arnow, L Florindez, K Sobhani, J C Prostko, E C Frias, J L Stewart, A Merchant, K L Reckamp",,CHENG,,Ann Oncol. 2022 Jan;33(1):109-111.
1,Mani,,CA260541,,CA260541,34877479,PMID_34877479,,Roles of antiviral sensing and type I interferon signaling in the restriction of SARS-CoV-2 replication,iScience,"Elizabeth Geerling, Amanda N Pinski, Taylor E Stone, Richard J DiPaolo, Michael Z Zulu, Kevin J Maroney, James D Brien, Ilhem Messaoudi, Amelia K Pinto",,SARIOL,,iScience. 2022 Jan 21;25(1):103553.
2,Mani,,CA260582,,CA260582,34909777,PMID_34909777,,Loss of Neutralizing Antibody Response to mRNA Vaccination against SARS-CoV-2 Variants: Differing Kinetics and Strong Boosting by Breakthrough Infection,bioRxiv : the preprint server for biology,"John P Evans, Cong Zeng, Claire Carlin, Gerard Lozanski, Linda J Saif, Eugene M Oltz, Richard J Gumina, Shan-Lu Liu",,OLTZ,preprint,bioRxiv. 2021 Dec 7;2021.12.06.471455.
3,Mani,,CA261277,,CA261277,34909778,PMID_34909778,,SARS-CoV-2 Transmission and Impacts of Unvaccinated-Only Testing in Populations of Mixed Vaccination Status,medRxiv : the preprint server for health sciences,"Kate M Bubar, Casey E Middleton, Kristen K Bjorkman, Roy Parker, Daniel B Larremore",,LIPSITCH,preprint,medRxiv. 2021 Dec 8;2021.10.19.21265231.
4,Mani,,CA260591,,CA260591,34909785,PMID_34909785,,The T-cell clonal response to SARS-CoV-2 vaccination in inflammatory bowel disease patients is augmented by anti-TNF therapy and often deficient in antibody-responders,medRxiv : the preprint server for health sciences,"Dalin Li, Alexander Xu, Emebet Mengesha, Rebecca Elyanow, Rachel M Gittelman, Heidi Chapman, John C Prostko, Edwin C Frias, James L Stewart, Valeriya Pozdnyakova, Philip Debbas, Angela Mujukian, Arash A Horizon, Noah Merin, Sandy Joung, Gregory J Botwin, Kimia Sobhani, Jane C Figueiredo, Susan Cheng, Ian M Kaplan, Dermot P B McGovern, Akil Merchant, Gil Y Melmed, Jonathan Braun",,CHENG,preprint,medRxiv. 2021 Dec 8;2021.12.08.21267444.
5,,,CA260507,,CA260507,34921308,PMID_34921308,,A humanized mouse model of chronic COVID-19,Nature biotechnology,"Esen Sefik, Benjamin Israelow, Haris Mirza, Jun Zhao, Rihao Qu, Eleanna Kaffe, Eric Song, Stephanie Halene, Eric Meffre, Yuval Kluger, Michel Nussenzweig, Craig B Wilen, Akiko Iwasaki, Richard A Flavell",,FAN,,Nat Biotechnol. 2021 Dec 17.
6,,,CA260581,,CA260581,34931078,PMID_34931078,,Role of the T cell vitamin D receptor in severe COVID-19,Nature immunology,"Jay K Kolls, Robert F Garry",,ROBINSON,,Nat Immunol. 2022 Jan;23(1):5-6.
7,Mani,,CA260541,,CA260541,33521695,PMID_33521695,,Comprehensive analysis of T cell immunodominance and immunoprevalence of SARS-CoV-2 epitopes in COVID-19 cases,Cell reports. Medicine,"Alison Tarke, John Sidney, Conner K Kidd, Jennifer M Dan, Sydney I Ramirez, Esther Dawen Yu, Jose Mateus, Ricardo da Silva Antunes, Erin Moore, Paul Rubiro, Nils Methot, Elizabeth Phillips, Simon Mallal, April Frazier, Stephen A Rawlings, Jason A Greenbaum, Bjoern Peters, Davey M Smith, Shane Crotty, Daniela Weiskopf, Alba Grifoni, Alessandro Sette",,SARIOL,,Cell Rep Med. 2021 Feb 16;2(2):100204.
8,,,CA260539,,CA260539,33993265,PMID_33993265,,Reduced BNT162b2 Messenger RNA Vaccine Response in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)-Naive Nursing Home Residents,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"David H Canaday, Lenore Carias, Oladayo A Oyebanji, Debbie Keresztesy, Dennis Wilk, Michael Payne, Htin Aung, Kerri St Denis, Evan C Lam, Christopher F Rowley, Sarah D Berry, Cheryl M Cameron, Mark J Cameron, Brigid Wilson, Alejandro B Balazs, Stefan Gravenstein, Christopher L King",,KING,,Clin Infect Dis. 2021 Dec 6;73(11):2112-2115.
9,Liu,,CA260462,,CA260462,34647593,PMID_34647593,,Coronavirus Disease 2019 and Children,The Journal of infectious diseases,"Suresh B Boppana, Swetha G Pinninti, William J Britt",,BOPPANA,,J Infect Dis. 2021 Dec 1;224(11):1807-1809.
