,User Defined ID,Brief Title,Official Title,Brief Description,Description,Intervention Agent,Endpoints,Sponsoring Organization,Age Unit,Actual Start Date,Hypothesis,Objectives,Target Enrollment,Minimum Age,Maximum Age
0,PMID33767426_study-01,The tumor suppressor kinase DAPK3 drives tumor-intrinsic immunity through the STING-IFN-β pathway,The tumor suppressor kinase DAPK3 drives tumor-intrinsic immunity through the STING-IFN-β pathway,"To perform loss-of-function screening of 1,001 tumor suppressor genes, to identify previously unrecognized drivers of anti-tumor immunity through the STING–IFN-β pathway.","Evasion of host immunity is a hallmark of cancer; however, mechanisms linking oncogenic mutations and immune escape are incompletely understood. Through loss-of-function screening of 1,001 tumor suppressor genes, we identified death-associated protein kinase 3 (DAPK3) as a previously unrecognized driver of anti-tumor immunity through the stimulator of interferon genes (STING) pathway of cytosolic DNA sensing. Loss of DAPK3 expression or kinase activity impaired STING activation and interferon (IFN)-β-stimulated gene induction. DAPK3 deficiency in IFN-β-producing tumors drove rapid growth and reduced infiltration of CD103+CD8α+ dendritic cells and cytotoxic lymphocytes, attenuating the response to cancer chemo-immunotherapy. Mechanistically, DAPK3 coordinated post-translational modification of STING. In unstimulated cells, DAPK3 inhibited STING K48-linked poly-ubiquitination and proteasome-mediated degradation. After cGAMP stimulation, DAPK3 was required for STING K63-linked poly-ubiquitination and STING-TANK-binding kinase 1 interaction. Comprehensive phospho-proteomics uncovered a DAPK3-specific phospho-site on the E3 ligase LMO7, critical for LMO7-STING interaction and STING K63-linked poly-ubiquitination. Thus, DAPK3 is an essential kinase for STING activation that drives tumor-intrinsic innate immunity and tumor immune surveillance.",,Animals | Antineoplastic Combined Chemotherapy Protocols | Cell Line | Tumor | Death-Associated Protein Kinases genetics | Metabolism | Female | Gene Expression Regulation | Neoplastic | Human Umbilical Vein Endothelial Cells | Humans | Immune Checkpoint Inhibitors | Immunity | Innate | Interferon-beta | Interferon-beta | LIM Domain Proteins | LIM Domain Proteins | Membrane Proteins | Membrane Proteins | Mice | Inbred C57BL | Mice | Knockout | Neoplasms | Neoplasms | Neoplasms | Neoplasms | Phosphorylation | Signal Transduction | Transcription Factors | Transcription Factors | Tumor Escape | Ubiquitination,La Jolla Institute of Immunology,Years,,Not Applicable ,Basic Research,,0,89
1,PMID34133941_study-01,Low-dose Ad26.COV2.S protection against SARS-CoV-2 challenge in rhesus macaques,Low-dose Ad26.COV2.S protection against SARS-CoV-2 challenge in rhesus macaques,"To assess the immunogenicity and protective efficacy of a titration of Ad26.COV2.S dose levels to evaluate immune correlates of protection, define the role of reduced vaccine doses in protecting different anatomic respiratory compartments, and assess the possibility of VAERD.","We previously reported that a single immunization with an adenovirus serotype 26 (Ad26)-vector-based vaccine expressing an optimized SARS-CoV-2 spike (Ad26.COV2.S) protected rhesus macaques against SARS-CoV-2 challenge. To evaluate reduced doses of Ad26.COV2.S, 30 rhesus macaques were immunized once with 1 × 1011, 5 × 1010, 1.125 × 1010, or 2 × 109 viral particles (vp) Ad26.COV2.S or sham and were challenged with SARS-CoV-2. Vaccine doses as low as 2 × 109 vp provided robust protection in bronchoalveolar lavage, whereas doses of 1.125 × 1010 vp were required for protection in nasal swabs. Activated memory B cells and binding or neutralizing antibody titers following vaccination correlated with protective efficacy. At suboptimal vaccine doses, viral breakthrough was observed but did not show enhancement of disease. These data demonstrate that a single immunization with relatively low dose of Ad26.COV2.S effectively protected against SARS-CoV-2 challenge in rhesus macaques, although a higher vaccine dose may be required for protection in the upper respiratory tract.",Johnson & Johnson COVID-19 vaccine,Ad26COV2S | COVID-19 | SARS-CoV-2 | humoral immunity | immunology | memory B cells | non-human primates | protection | vaccination,Beth Israel Deaconess Medical Center,Years,,Not Applicable ,Preclinical Study,,0,89
2,PMID34688034_study-01,Evidence for retained spike-binding and neutralizing activity against emerging SARS-CoV-2 variants in serum of COVID-19 mRNA vaccine recipients,Evidence for retained spike-binding and neutralizing activity against emerging SARS-CoV-2 variants in serum of COVID-19 mRNA vaccine recipients,To evaluate the neutralization and binding activities of sera collected from COVID-19 mRNA vaccine recipients against current SARS-CoV-2 Variants of Concern/Interest.,"Background: Highly efficacious vaccines against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) have been developed. However, the emergence of viral variants that are more infectious than the earlier SARS-CoV-2 strains is concerning. Several of these viral variants have the potential to partially escape neutralizing antibody responses, warranting continued immune-monitoring. Methods: We used a panel of 30 post-mRNA vaccination sera to determine neutralization and RBD and spike binding activity against a number of emerging viral variants. The virus neutralization was determined using authentic SARS-CoV-2 clinical isolates in an assay format that mimics physiological conditions. Findings: We tested seven currently circulating viral variants of concern/interest, including the three Iota sublineages, Alpha (E484K), Beta, Delta and Lambda in neutralization assays. We found only small decreases in neutralization against Iota and Delta. The reduction was stronger against a sub-variant of Lambda, followed by Beta and Alpha (E484K). Lambda is currently circulating in parts of Latin America and was detected in Germany, the US and Israel. Of note, reduction in a receptor binding domain and spike binding assay that also included Gamma, Kappa and A.23.1 was negligible. Interpretation: Taken together, these findings suggest that mRNA SARS-CoV-2 vaccines may remain effective against these viral variants of concern/interest and that spike binding antibody tests likely retain specificity in the face of evolving SARS-CoV-2 diversity.","Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine",SARS-CoV-2 variants | COVID-19 | COVID-19 mRNA vaccines | Antibodies | Neutralization activity | VoC,Icahn School of Medicine at Mount Sinai,Years,,Neutralizing binding activity to variant RBD and spike proteins.,Clinical Research,30,20,69
3,PMID35764089_study-01,Humoral and cellular immune memory to four COVID-19 vaccines,Humoral and cellular immune memory to four COVID-19 vaccines,"To examine SARS-CoV-2-spike-specific immune responses to Moderna mRNA-1273, Pfizer/BioNTech BNT162b2, Janssen Ad26.COV2.S, and Novavax NVX-CoV2373 over 6 months.","Multiple COVID-19 vaccines, representing diverse vaccine platforms, successfully protect against symptomatic COVID-19 cases and deaths. Head-to-head comparisons of T cell, B cell, and antibody responses to diverse vaccines in humans are likely to be informative for understanding protective immunity against COVID-19, with particular interest in immune memory. Here, SARS-CoV-2-spike-specific immune responses to Moderna mRNA-1273, Pfizer/BioNTech BNT162b2, Janssen Ad26.COV2.S, and Novavax NVX-CoV2373 were examined longitudinally for 6 months 100% of individuals made memory CD4+ T cells, with cTfh and CD4-CTL highly represented after mRNA or NVX-CoV2373 vaccination. mRNA vaccines and Ad26.COV2.S induced comparable CD8+ T cell frequencies, though only detectable in 60–67% of subjects at 6 months. A differentiating feature of Ad26.COV2.S immunization was a high frequency of CXCR3+ memory B cells. mRNA vaccinees had substantial declines in antibodies, while memory T and B cells were comparatively stable. These results may also be relevant for insights against other pathogens.","Moderna COVID-19 vaccine, Johnson & Johnson COVID-19 vaccine, NVX-CoV2373, Pfizer BioNTech COVID-19 vaccine",COVID-19 vaccine | SARS-COV2 | cellular immunity | humoral immunity | immune memory | Activation-induced markers (AIM) assay,La Jolla Institute of Immunology,Years,,"T cell, B cell, and antibody response",Clinical Research,102,18,74
4,PMID35605428_study-01,COVID-19 vaccine booster dose needed to achieve Omicron-specific neutralisation in nursing home residents,COVID-19 vaccine booster dose needed to achieve Omicron-specific neutralisation in nursing home residents,To examine the effect of boosting with BNT162b2 mRNA vaccine on humoral immunity and Omicron-specific neutralising activity among NH residents and healthcare workers (HCWs).,"Methods: We longitudinally enrolled 85 NH residents (median age 77) and 48 HCWs (median age 51), and sampled them after the initial vaccination series; and just before and 2 weeks after booster vaccination. Anti-spike, anti-receptor binding domain (RBD) and neutralisation titres to the original Wuhan strain and neutralisation to the Omicron strain were obtained. Findings: Booster vaccination significantly increased vaccine-specific anti-spike, anti-RBD, and neutralisation levels above the pre-booster levels in NH residents and HCWs, both in those with and without prior SARS-CoV-2 infection. Omicron-specific neutralisation activity was low after the initial 2 dose series with only 28% of NH residents' and 28% HCWs' titres above the assay's lower limit of detection. Omicron neutralising activity following the booster lifted 86% of NH residents and 93% of HCWs to the detectable range.",Pfizer BioNTech COVID-19 vaccine,COVID-19 | Vaccination | Booster | Omicron | Geriatrics | Long-term care | Neutralization,Case Western Reserve University,Years,01-Dec-2020,Anti-spike and anti-RBD antibody levels and neutralisation titres,Clinical Research,133,30,99
5,PMID34594341_study-01,Use of Outpatient-Derived COVID-19 Convalescent Plasma in COVID-19 Patients Before Seroconversion,Use of Outpatient-Derived COVID-19 Convalescent Plasma in COVID-19 Patients Before Seroconversion,To identify factors correlating to high antibody titers in convalescent plasma donors and understand the magnitude and pharmacokinetic time course of both transfused antibody titers and the endogenous antibody titers in transfused recipients.,Transfusion of COVID-19 convalescent plasma (CCP) containing high titers of anti-SARS-CoV-2 antibodies serves as therapy for COVID-19 patients. Transfusions early during disease course was found to be beneficial. Lessons from the SARS-CoV-2 pandemic could inform early responses to future pandemics and may continue to be relevant in lower resource settings. We sought to identify factors correlating to high antibody titers in convalescent plasma donors and understand the magnitude and pharmacokinetic time course of both transfused antibody titers and the endogenous antibody titers in transfused recipients.,,COVID-19 | SARS-CoV-2 | antiviral antibodies | convalescent plasma for COVID-19 therapy | humoral immune response,Stanford University,Years,14-Apr-2020,Anti-SARS-CoV-2 antibody levels and RBD-ACE2 blocking capacity ,Clinical Research,109,20,70
6,PMID34861167_study-01,Direct comparison of antibody responses to four SARS-CoV-2 vaccines in Mongolia,Direct comparison of antibody responses to four SARS-CoV-2 vaccines in Mongolia,To examine antibody responses in Mongolian participants fully vaccinated with one of four COVID-19 vaccines.,"Different SARS-CoV-2 vaccines are approved in various countries, but few direct comparisons of the antibody responses they stimulate have been reported. We collected plasma specimens in July 2021 from 196 Mongolian participants fully vaccinated with one of four COVID-19 vaccines: Pfizer/BioNTech, AstraZeneca, Sputnik V, and Sinopharm. Functional antibody testing with a panel of nine SARS-CoV-2 viral variant receptor binding domain (RBD) proteins revealed marked differences in vaccine responses, with low antibody levels and RBD-ACE2 blocking activity stimulated by the Sinopharm and Sputnik V vaccines in comparison to the AstraZeneca or Pfizer/BioNTech vaccines. The Alpha variant caused 97% of infections in Mongolia in June and early July 2021. Individuals who recover from SARS-CoV-2 infection after vaccination achieve high antibody titers in most cases. These data suggest that public health interventions such as vaccine boosting, potentially with more potent vaccine types, may be needed to control COVID-19 in Mongolia and worldwide.","Sinopharm (BBIBP-CorV), Pfizer BioNTech COVID-19 vaccine, AstraZeneca, Sputnik V",COVID-19 | Mongolia | Pfizer/BioNTech | SARS-CoV-2 | Sinopharm | Sputnik V | serology | vaccine | viral variants,Stanford University,Years,03-Jul-2021,"Anti SARS-CoV-2 Ig G antibodies,  ACE2 blocking antibodies",Clinical Research,196,20,85
7,PMID32678685_study-01,SARS-CoV-2 RNAemia in a Healthy Blood Donor 40 Days After Respiratory Illness Resolution,SARS-CoV-2 RNAemia in a Healthy Blood Donor 40 Days After Respiratory Illness Resolution,"To report the case of a volunteer blood donor, healthy on the day of donation, who had detectable SARS-CoV-2 RNA levels in their blood at least 40 days after resolution of coronavirus disease 2019 (COVID-19)–like symptoms.","Asymptomatic donors infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) may pose a risk to the safety of the blood supply (1). Although a previous report described detection of viral RNA in donor plasma, these donors tested positive for SARS-CoV-2 in a respiratory specimen or developed fever shortly after donation, suggesting that the donation occurred early in the course of their infection (2). To our knowledge, the persistence of SARS-CoV-2 RNA in plasma from an eligible donor after recovery from illness has not yet been described.",,Blood banks | Blood donors | Blood plasma | COVID-19 | Fevers | Proteins | Reverse transcriptase polymerase chain reaction | RNA | Safety | Upper respiratory tract infections,Stanford University,Years,23-Apr-2020,SARS-CoV-2 RNA levels,Clinical Research,6,0,89
8,PMID32941787_study-01,Human B Cell Clonal Expansion and Convergent Antibody Responses to SARS-CoV-2,Human B Cell Clonal Expansion and Convergent Antibody Responses to SARS-CoV-2,To investigate if COVID-19 patients with shared subsets of antibody sequences to SARS-CoV-2 antigens are a resource of potential protective or therapeutic antibodies.,"B cells are critical for the production of antibodies and protective immunity to viruses. Here we show that patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) who develop coronavirus disease 2019 (COVID-19) display early recruitment of B cells expressing a limited subset of IGHV genes, progressing to a highly polyclonal response of B cells with broader IGHV gene usage and extensive class switching to IgG and IgA subclasses with limited somatic hypermutation in the initial weeks of infection. We identify convergence of antibody sequences across SARS-CoV-2-infected patients, highlighting stereotyped naive responses to this virus. Notably, sequence-based detection in COVID-19 patients of convergent B cell clonotypes previously reported in SARS-CoV infection predicts the presence of SARS-CoV/SARS-CoV-2 cross-reactive antibody titers specific for the receptor-binding domain. These findings offer molecular insights into shared features of human B cell responses to SARS-CoV-2 and SARS-CoV.",,B cells | COVID-19 | SARS-CoV-2 | antibodies | antibody repertoire | clonal expansion | convergent antibody response | immunogenetics | immunology | primary infection,Stanford University,Years,,IGH repertoires of patients with diagnostically confirmed SARS-CoV-2 infection,Basic Research,127,17,88
9,PMID35857529_study-01,Omicron spike function and neutralizing activity elicited by a comprehensive panel of vaccines,Omicron spike function and neutralizing activity elicited by a comprehensive panel of vaccines,"To assess spike mutation impact on ACE2 binding, fusogenicity, and neutralizing activity elicited by infection or seven clinical vaccines relative to the ancestral virus.","The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Omicron variant of concern comprises several sublineages, with BA.2 and BA.2.12.1 having replaced the previously dominant BA.1 and with BA.4 and BA.5 increasing in prevalence worldwide. We show that the large number of Omicron sublineage spike mutations leads to enhanced angiotensin-converting enzyme 2 (ACE2) binding, reduced fusogenicity, and severe dampening of plasma neutralizing activity elicited by infection or seven clinical vaccines relative to the ancestral virus. Administration of a homologous or heterologous booster based on the Wuhan-Hu-1 spike sequence markedly increased neutralizing antibody titers and breadth against BA.1, BA.2, BA.2.12.1, BA.4, and BA.5 across all vaccines evaluated. Our data suggest that although Omicron sublineages evade polyclonal neutralizing antibody responses elicited by primary vaccine series, vaccine boosters may provide sufficient protection against Omicron-induced severe disease.","Johnson & Johnson COVID-19 vaccine, Sputnik V, Moderna COVID-19 vaccine, Pfizer BioNTech COVID-19 vaccine, AstraZeneca, NVX-CoV2373, Sinopharm (BBIBP-CorV)",Antibodies | Neutralizing blood | immunology | Antibodies | Viral blood | COVID-19 Vaccines immunology | COVID-19 prevention & control | Humans | Immunization | Secondary | SARS-CoV-2 immunology | Spike Glycoprotein | Coronavirus,La Jolla Institute For Immunology,Years,,"ACE2 binding affinity and neutralizing antibody titers against BA.1, BA.2, BA.2.12.1, BA.4, and BA.5 variants.",Clinical Research,194,17,79
