The validation report is based on ImmPort workspace (workspace_id = 6661).
The validation report was generated on 2022-08-22-15:50:57.
The data package file submitted was /home/immport/data/immport-data-upload-server/webupload_drop_zone/aleliu_20220822_33938___TEST.

File Name	Line Number	Status	Error Message	Description
study_design_edit_planned_visit.txt		Parsing		Template: study_design_edit.txt, Size:1572 bytes
study_design_edit_planned_visit.txt		Information		Validation Level = Standard
study_design_edit_planned_visit.txt	3	Stored in:file_info		Size:1572 bytes
study_design_edit_planned_visit.txt	9	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1973" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID33993265_assessment_recorded_pv".
study_design_edit_planned_visit.txt	10	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1835" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID34095338_assessment_recorded_pv".
study_design_edit_planned_visit.txt	11	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1976" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID33846272_assessment_recorded_pv".
study_design_edit_planned_visit.txt	12	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1965" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID33622794_assessment_recorded_pv".
study_design_edit_planned_visit.txt	13	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1832" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID34145263_assessment_recorded_pv".
study_design_edit_planned_visit.txt	14	Error	The study accession associated with an entity is not equal to upload's study accession	The Template "study_design_edit.txt" has Study Accession "SDY1803" and is attempting to set the upload Study Accession, but the upload Study Accession is equal to "SDY1815".  The row has ID field(s) "User Defined ID" and value "PMID33035201_assessment_recorded_pv".
study_design_edit_planned_visit.txt		Failed		Template: study_design_edit.txt, Size:1572 bytes
nobody_20220822_1000000058___aleliu_20220822_33938___TEST		Rejected		
